scenario,controller,rms_deg,max_deg
nominal,pd_gravity,0.17644068651973974,1.151552777858249
nominal,computed_torque,0.00114469579835402,0.004907657876582903
payload 1.5 kg,pd_gravity,0.40319115882562556,1.380845364992577
payload 1.5 kg,computed_torque,0.3519333534355543,1.1756516319401933
link masses +15%,pd_gravity,0.2514402576899795,1.1531395988594653
link masses +15%,computed_torque,0.09414735097066078,0.47395870350392355
joint friction,pd_gravity,0.47099943045612136,3.815613336137085
joint friction,computed_torque,0.6195902801801516,3.6896206159015246
actuation delay 3 ms,pd_gravity,0.1764238112840566,1.1519314988856504
actuation delay 3 ms,computed_torque,0.0038448805307284713,0.0618601406335404
sensor noise,pd_gravity,0.17658715795878185,1.1481608671138597
sensor noise,computed_torque,0.004059888555339467,0.01637576681661996
all combined,pd_gravity,0.7701350982515065,3.846243090933706
all combined,computed_torque,0.9239684853217359,3.742937300326427
